C1,C2,years,war,invpath
20,157,148,0,.0836654
27,66,148,.02027,.1667966
178,375,131,0,.0466432
178,304,131,.038168,.0257361
56,178,131,0,.0290803
178,343,131,0,.0466432
170,178,131,.015267,.0212468
178,339,131,0,.0466432
178,344,131,0,.0466432
178,389,131,0,.1234097
178,216,131,.015267,.028117
70,178,131,0,.0062556
172,178,131,0,.0574427
178,296,131,0,.0319157
87,178,131,.015267,.0159033
178,379,131,.015267,.0280681
177,178,131,.091603,.1834862
178,390,131,0,.1234097
178,385,130,0,.0454579
157,178,129,0,.0418051
20,70,127,0,.1136483
83,178,127,0,0
66,87,122,.040984,.0162145
66,170,119,.033613,.0206749
178,291,116,0,0
170,291,116,0,.0043103
216,291,116,0,.0043103
291,339,116,.137931,.0034483
87,291,116,0,.0043103
291,344,116,.137931,.0034483
291,375,116,.137931,.0034483
291,389,116,0,0
157,291,116,0,0
291,379,116,0,.0043103
70,291,116,0,.0086207
56,291,116,0,0
291,304,116,0,.0947368
291,390,116,0,0
291,343,116,.137931,.0034483
172,291,116,0,0
291,296,116,.077586,.0012315
177,291,116,.008621,0
291,385,115,0,0
27,157,112,0,.0068878
83,291,112,0,0
27,344,105,.095238,.0111477
106,390,104,0,.1229134
106,177,104,0,.1369015
106,216,104,0,.1106811
106,389,104,0,.1426719
106,343,104,0,.0641942
66,106,104,0,.0443783
27,339,104,.096154,.0106139
106,385,104,0,.1489219
106,379,103,0,.1504036
106,375,103,0,.0609756
83,106,103,0,.2407133
220,390,102,0,.0183473
220,389,102,0,.01804
220,343,102,0,.0174292
220,385,102,0,.0183551
106,220,102,0,.015508
66,220,102,0,.0107784
177,220,102,0,.0195495
216,220,102,.04902,.0095023
83,220,101,0,.0212164
220,379,101,.049505,.0264026
220,375,101,0,.0103857
106,296,96,0,.0750645
220,296,94,0,.0058257
106,99999,88,0,.1003105
389,99999,88,0,.085751
177,99999,88,0,.2082319
220,99999,88,0,.0269087
216,99999,88,.056818,.173772
385,99999,88,0,.0860035
343,99999,88,0,.0926299
